(0,0)
(0,0)
(0,0)
(0,0)
(-0.30228,0.732038)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(1.01528,-1.35708)
(0,0)
(0,0)
(0,0)
(1.8446,8.95927)
(0,0)
(-0.498801,0.816516)
(0,0)
(0,0)
(0,0)
(-0.747599,1.27942)
(-0.294377,-0.37416)
(-0.370992,0.491969)
(0,0)
(0.513228,-1.15977)
(0,0)
(-13.7216,-2.36316)
(-0.888705,-0.112288)
(23.797,3.98865)
(0,0)
(34.486,8.49052)
(-0.300072,-0.0379142)




(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(-0.271142,0.744133)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(1.01528,-1.35708)
(0,0)
(0,0)
(0,0)
(2.66822,10.2789)
(0,0)
(-0.642505,0.709005)
(0,0)
(0,0)
(-0.469759,0.0773293)
(-0.914256,1.70845)
(0,0)
(-0.0583913,0.6134)
(0,0)
(0.404248,-1.2021)
(0.888705,0.112288)
(-13.7216,-2.36316)
(0,0)
(23.7885,4.56213)
(-0.300072,-0.0379142)
(34.8918,8.45945)




(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0.199184,-0.487037)
(0,0)
(0,0)
(0,0)
(2.5839,-2.45088)
(0,0)
(-0.307524,-7.50318)
(0,0)
(10.5874,16.2399)
(0,0)
(4.90756,-3.92113)
(0,0)
(7.87923,8.25951)
(0,0)
(-0.530359,1.40634)
(0,0)
(-0.455296,0.291415)
(0,0)
(-63.1226,-24.5308)
(0,0)
(50.2864,6.3537)
(0,0)
(-5.93035,-13.7567)
(0,0)
(-2.27909,8.87493)
(0,0)




(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0.181818,-0.493783)
(0,0)
(0,0)
(0,0)
(3.01087,-3.02158)
(0,0)
(-4.46227,-4.91007)
(0,0)
(10.7459,16.4604)
(0,0)
(5.0864,-3.84373)
(0,0)
(8.77269,9.4858)
(0,0)
(-0.558053,1.39558)
(0,0)
(-0.139189,-0.522345)
(0,0)
(-63.1298,-24.5122)
(0,0)
(50.2864,6.3537)
(0,0)
(-5.4292,-14.142)
(0,0)
(-2.24863,8.75633)




(-0.30228,-0.732038)
(0,0)
(0,0)
(0,0)
(9.41352e-16,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(25.3391,18.9572)
(0,0)
(13.8803,16.4334)
(0,0)
(-4.28224,2.52382)
(0,0)
(1.79378,-2.90506)
(0,0)
(-1.20755,2.72262)
(0,0)
(-1.79888,4.90765)
(0,0)
(-27.3553,-10.6291)
(0,0)
(3.44073,-0.250263)
